,ShortName,MetricGroupName,Name,MetricCategory,RestoInform
1,Elev_M,NA,Elev_M,Temperature,0
2,Ppt,NA,Precipitation,Size,0
3,CUMDRAINAG,NA,Drainage Area (Flowline),Size,0
4,DistPrin1,NA,Disturbance Class PCA 1,Land Classification,0
5,NatPrin1,NA,Natural Class PCA 1,Land Classification,0
6,NatPrin2,NA,Natural Class PCA 2,Land Classification,0
7,MeanU,NA,Mean Annual Flow,Size,0
8,SlowWater_Area,Visit Metric,Slow Water Area,ChannelUnit,1
9,SlowWater_Ct,Visit Metric,Slow Water Count,ChannelUnit,1
10,SlowWater_Vol,Visit Metric,Slow Water Volume,ChannelUnit,1
11,SlowWater_Pct,Visit Metric,Slow Water Percent,ChannelUnit,1
12,FstTurb_Area,Visit Metric,Fast Turbulent Area,ChannelUnit,1
13,FstTurb_Ct,Visit Metric,Fast Turbulent Count,ChannelUnit,1
14,FstTurb_Vol,Visit Metric,Fast Turbulent Volume,ChannelUnit,1
15,FstTurb_Pct,Visit Metric,Fast Turbulent Percent,ChannelUnit,1
16,FstNT_Area,Visit Metric,Fast NonTurbulent Area,ChannelUnit,1
17,FstNT_Ct,Visit Metric,Fast NonTurbulent Count,ChannelUnit,1
18,FstNT_Vol,Visit Metric,Fast NonTurbulent Volume,ChannelUnit,1
19,FstNT_Pct,Visit Metric,Fast NonTurbulent Percent,ChannelUnit,1
20,Grad,Visit Metric,Gradient,Size,1
21,Sin,Visit Metric,Sinuosity,Complexity,1
22,Lgth_Wet,Visit Metric,Wetted Site Length,Size,1
23,Area_Wet,Visit Metric,Wetted Area,Size,1
24,Area_Bf,Visit Metric,Bankfull Area,Size,1
25,WetVol,Visit Metric,Wetted Volume,Size,1
26,WetWdth_Int,Visit Metric,Wetted Width Integrated,Size,1
27,DetrendElev_SD,Visit Metric,Detrended Elevation SD,Complexity,0
28,BfWdthInt,Visit Metric,Bankfull Width Integrated,Size,1
29,DpthThlwg_UF_CV,Visit Metric,Thalweg Depth CV,Complexity,1
30,BfVol,Visit Metric,Bankfull Volume,Size,1
31,Lgth_WetChnl,Visit Metric,Wetted Channel Total Length,Size,0
32,WetBraid,Visit Metric,Wetted Channel Braidedness,Complexity,1
33,Lgth_BfChnl,Visit Metric,Bankfull Channel Total Length,Size,0
34,BfBraid,Visit Metric,Bankfull Channel Braidedness,Complexity,1
35,Wet_QIsland_Ct,Visit Metric,Wetted Channel Qualifying Island Count,Complexity,1
36,Bf_QIsland_Ct,Visit Metric,Bankfull Channel Qualifying Island Count,Complexity,1
37,DpthWet_SD,Visit Metric,Wetted Depth SD,Complexity,1
38,BfWdth_CV,Visit Metric,Bankfull Width CV,Complexity,1
