MetricCategory,Metric,Model_select,,dataset,var,obsCV,non_NA,is_NA,perc_NA,non_0,perc_non0,MAS,MEV,MCN,MICR2,GMIC,TIC,MetricGroupName,Name,species.y,MIC.y,MIC_diff,MIC_diff_direction,MIC_rel_diff,RestoInform
ChannelUnit,FstTurb_Freq,1,,Summer_CHaMP,4.979915455,0.769357321,587,10,0.017,561,0.939698492,0.031003255,0.170687922,3,NA,0.081312812,6.499128443,Visit Metric,Fast Turbulent Frequency,Chinook,0.230448922,0.059761,-,1.350118502,1
ChannelUnit,CU_Freq,1,,Summer_CHaMP,25.09044362,0.697859903,587,10,0.017,587,0.983249581,0.010785675,0.148757283,3,NA,0.070706431,6.077735645,Visit Metric,Channel Unit Frequency,Chinook,0.212633446,0.063876164,-,1.429398564,1
ChannelUnit,FstNT_Freq,1,,Summer_CHaMP,2.067050186,1.155880831,587,10,0.017,427,0.715242881,0.0162038,0.151027821,2.584962501,NA,0.073046535,6.161407383,Visit Metric,Fast NonTurbulent Frequency,Chinook,0.212322468,0.061294647,-,1.405850041,1
ChannelUnit,FstTurb_Pct,0,"only lin percentage, not air",Summer_CHaMP,762.4219401,0.519119554,587,10,0.017,561,0.939698492,0.016403481,0.161569782,2.584962501,NA,0.080349163,6.570667931,Visit Metric,Fast Turbulent Percent,Chinook,0.202913291,0.04134351,-,1.255886399,1
ChannelUnit,SlowWater_Freq,1,,Summer_CHaMP,7.021834745,0.873592826,587,10,0.017,557,0.932998325,0.008604906,0.155296877,3,NA,0.070086269,6.156329722,Visit Metric,Slow Water Frequency,Chinook,0.197800193,0.042503316,-,1.273690729,1
ChannelUnit,FstNT_Pct,0,"only lin percentage, not air",Summer_CHaMP,346.1341877,1.05363198,587,10,0.017,427,0.715242881,0.010767046,0.140780999,3,NA,0.06578598,5.657772916,Visit Metric,Fast NonTurbulent Percent,Chinook,0.185861697,0.045080698,-,1.320218623,1
ChannelUnit,ChnlUnitTotal_Ct,0,,Summer_CHaMP,34.54392962,0.50743326,587,10,0.017,587,0.983249581,0.07868974,0.148617657,3,NA,0.069040878,4.995504943,NA,ChnlUnitTotal_Ct,Chinook,0.183445524,0.034827867,-,1.234345416,1
ChannelUnit,CU_Ct,0,,Summer_CHaMP,34.54392962,0.50743326,587,10,0.017,587,0.983249581,0.07868974,0.148617657,3,NA,0.069040878,4.995504943,Visit Metric,Channel Unit Count,Chinook,0.183445524,0.034827867,-,1.234345416,1
ChannelUnit,FstNT_Ct,0,,Summer_CHaMP,3.753975499,0.977081607,587,10,0.017,427,0.715242881,0.118170758,0.15449407,3,NA,0.069099949,4.419494024,Visit Metric,Fast NonTurbulent Count,Chinook,0.181005685,0.026511615,-,1.171602799,1
ChannelUnit,FstTurb_Ct,0,,Summer_CHaMP,7.688687199,0.591232074,587,10,0.017,561,0.939698492,0.114207281,0.168212774,2.584962501,NA,0.094592451,5.431896828,Visit Metric,Fast Turbulent Count,Chinook,0.178205356,0.009992582,-,1.059404418,1
ChannelUnit,SlowWater_Pct,0,,Summer_CHaMP,473.8334471,0.758485947,587,10,0.017,557,0.932998325,0.020392977,0.146067533,2.584962501,NA,0.071529178,6.097659963,Visit Metric,Slow Water Percent,Chinook,0.174527093,0.028459561,-,1.194838377,1
ChannelUnit,SlowWater_Ct,0,,Summer_CHaMP,11.66589531,0.695669819,587,10,0.017,557,0.932998325,0.116908207,0.151307961,3,NA,0.067110195,4.258845976,Visit Metric,Slow Water Count,Chinook,0.165521783,0.014213822,-,1.093939685,1
Complexity,Bf_QIsland_Ct,0,,Summer_CHaMP,0.57950938,2.422175427,595,2,0.003,121,0.202680067,0.119113944,0.137703292,2.584962501,NA,0.066185986,3.576415859,Visit Metric,Bankfull Channel Qualifying Island Count,NA,NA,NA,NA,NA,1
Complexity,BfWdth_CV,0,,Summer_CHaMP,0.01205443,0.450310183,588,9,0.015,588,0.984924623,0.006777726,0.143723622,3,NA,0.065749569,5.710926852,Visit Metric,Bankfull Width CV,Chinook,0.235166747,0.091443125,-,1.636242835,1
Complexity,WetBraid,1,,Summer_CHaMP,0.010899565,0.100616301,593,4,0.007,593,0.993299832,0.052270629,0.144837085,2.584962501,NA,0.072161299,5.250535023,Visit Metric,Wetted Channel Braidedness,Chinook,0.224213191,0.079376106,-,1.548037171,1
Complexity,BfBraid,0,,Summer_CHaMP,0.018423724,0.129404582,592,5,0.008,592,0.991624791,0.04064869,0.141812232,2.584962501,NA,0.073706072,5.538476322,Visit Metric,Bankfull Channel Braidedness,Chinook,0.221757082,0.07994485,-,1.563737333,1
Complexity,WetWDRat_CV,0,,Summer_CHaMP,0.042550321,0.380972364,588,9,0.015,588,0.984924623,0.008610553,0.157678483,3,NA,0.077870477,6.266044185,Visit Metric,Wetted Width To Depth Ratio CV,Chinook,0.218199785,0.060521302,-,1.38382727,1
Complexity,DpthWet_SD,0,,Summer_CHaMP,0.006555706,0.59237286,595,2,0.003,595,0.996649916,0.010020272,0.147242493,2.584962501,NA,0.0802487,6.263785221,Visit Metric,Wetted Depth SD,Chinook,0.218007943,0.07076545,-,1.480604812,1
Complexity,BfWDRat_Avg,0,,Summer_CHaMP,132.8270269,0.465104809,588,9,0.015,588,0.984924623,0.012144439,0.153694762,2.584962501,NA,0.085963094,6.952780863,Visit Metric,Bankfull Width To Depth Ratio Avg,Chinook,0.210127777,0.056433015,-,1.367175916,1
Complexity,WetWDRat_Avg,0,,Summer_CHaMP,349.1798616,0.508107906,588,9,0.015,588,0.984924623,0.01417016,0.184940785,2.584962501,NA,0.112459717,8.623120758,Visit Metric,Wetted Width To Depth Ratio Avg,Chinook,0.204053176,0.01911239,-,1.103343296,1
Complexity,BfWDRat_CV,0,,Summer_CHaMP,0.030171573,0.450843135,588,9,0.015,588,0.984924623,0.037031935,0.157966965,3,NA,0.076375187,5.871136197,Visit Metric,Bankfull Width To Depth Ratio CV,Chinook,0.198904776,0.040937811,-,1.259154255,1
Complexity,DetrendElev_SD,0,,Summer_CHaMP,0.232958176,0.663019725,595,2,0.003,595,0.996649916,0.010285709,0.145855633,3,NA,0.062924012,6.017797756,Visit Metric,Detrended Elevation SD,Chinook,0.188728531,0.042872898,-,1.293940641,0
Complexity,DpthThlwg_UF_CV,1,,Summer_CHaMP,0.033287177,0.406211045,593,4,0.007,593,0.993299832,0.009931617,0.16408638,3,NA,0.08023614,6.815393321,Visit Metric,Thalweg Depth CV,Chinook,0.187850157,0.023763776,-,1.144824794,1
Complexity,WetWdth_CV,0,,Summer_CHaMP,0.011767415,0.413169208,588,9,0.015,588,0.984924623,0.024564666,0.162963694,3,NA,0.082534155,6.212078393,Visit Metric,Wetted Width CV,Chinook,0.180058534,0.01709484,-,1.104899687,1
Complexity,Sin,1,centerline,Summer_CHaMP,0.058849986,0.196884906,593,4,0.007,593,0.993299832,0.009745471,0.157986444,3,NA,0.074394843,6.227135356,Visit Metric,Sinuosity,Chinook,0.169683365,0.011696921,-,1.074037495,1
Cover,FishCovLW,1,,Summer_CHaMP,35.66262574,1.077079548,587,10,0.017,520,0.871021776,0.030146956,0.179415023,2.584962501,NA,0.093254402,7.156914928,Visit Metric,Fish Cover: LW,Chinook,0.225339711,0.045924688,-,1.255969025,1
Cover,FishCovTotal,1,,Summer_CHaMP,268.2593319,0.83578745,587,10,0.017,582,0.974874372,0.021890063,0.169566625,2.584962501,NA,0.09249446,7.126222186,Visit Metric,Fish Cover: Total,Chinook,0.206779574,0.037212949,-,1.219459162,1
Cover,FishCovNone,0,,Summer_CHaMP,257.4392343,0.19810721,586,11,0.018,585,0.979899497,0.01613743,0.163212645,2,NA,0.098440231,7.392203901,Visit Metric,Fish Cover: None,Chinook,0.20328113,0.040068486,-,1.24549866,1
